"type","w1_str","w2_str","bi.freq","w1.freq","w2.freq"
"levels_at","levels","at",133,12035,521986
"significant_when","significant","when",27,11973,208943
"residents_for","residents","for",26,3217,877618
"from_materials","from","materials",16,423379,6671
"concern_qualification","concern","qualification",14,10204,1261
"and_wonderful","and","wonderful",149,2614893,4507
"a_st","a","st",87,2169721,14221
"manual_log","manual","log",14,2359,1264
"a_rattling","a","rattling",34,2169721,292
"eat_i","eat","i",22,7202,720226
"you_damn","you","damn",12,579748,1712
"and_implemented","and","implemented",97,2614893,1741
"this_reduced","this","reduced",25,452531,7948
"feed_their","feed","their",55,3112,254217
"further_information","further","information",1088,35587,37932
"individualised_care","individualised","care",13,88,24170
"charge_so","charge","so",15,11758,236139
"accept_that","accept","that",1815,9587,1048180
"by_alternative","by","alternative",39,511973,8533
"word_position","word","position",18,18521,22666
"with_planned","with","planned",16,658333,5710
"an_ease","an","ease",22,336611,3014
"crisis_there","crisis","there",15,5782,283568
"intestinal_and","intestinal","and",12,835,2614893
"spare_to","spare","to",15,2849,2593392
"individual_cells","individual","cells",36,18148,7610
"of_foil","of","foil",28,3041281,517
"player_or","player","or",40,5370,368104
"the_must","the","must",17,6036130,68791
"snow_fell","snow","fell",32,3385,10152
"to_netware","to","netware",11,2593392,500
"mrs_green","mrs","green",15,20175,13900
"said_steadily","said","steadily",22,193749,1614
"materials_science","materials","science",29,6671,10426
"life_as","life","as",1057,54177,653528
"durham_had","durham","had",19,2329,412099
"concerns_such","concerns","such",21,3788,106950
"experiences_we","experiences","we",18,3471,299533
"dealers_were","dealers","were",65,1690,307547
"practice_rather","practice","rather",27,16891,41714
"contemplate_the","contemplate","the",104,582,6036130
"this_proves","this","proves",49,452531,780
"and_plumbing","and","plumbing",30,2614893,338
"with_juvenile","with","juvenile",11,658333,703
"consistently_by","consistently","by",15,1622,511973
"which_isn't","which","isn't",190,364831,17491
"are_hanging","are","hanging",29,456718,2876
"was_eligible","was","eligible",25,860745,1328
"cone_and","cone","and",30,426,2614893
"the_precipitating","the","precipitating",14,6036130,98
"as_hers","as","hers",44,653528,2354
"knows_when","knows","when",82,7837,208943
"systems_into","systems","into",27,16988,157599
"stairs_with","stairs","with",55,3274,658333
"of_gearing","of","gearing",22,3041281,307
"the_frying","the","frying",49,6036130,318
"see_opposite","see","opposite",28,113356,5772
"NUM_regarding","NUM","regarding",43,1265511,2432
"nice_then","nice","then",13,12280,153059
"was_unsatisfactory","was","unsatisfactory",29,860745,756
"bad_indeed","bad","indeed",11,14683,18003
"string_in","string","in",30,2686,1937245
"climate_for","climate","for",83,2766,877618
"suppose_you'll","suppose","you'll",39,10096,11800
"particular_history","particular","history",18,28733,18667
"world's_busiest","world's","busiest",13,3770,225
"freight_forwarders","freight","forwarders",17,961,19
"carboniferous_limestone","carboniferous","limestone",27,402,793
"common_size","common","size",12,19758,12458
"original_style","original","style",18,11211,10441
"was_foreign","was","foreign",36,860745,15731
"the_bernese","the","bernese",15,6036130,27
"won't_thank","won't","thank",12,15448,9280
"early_days","early","days",1015,33184,31451
"been_stored","been","stored",50,259718,2136
"their_immediate","their","immediate",188,254217,5971
"little_hard","little","hard",45,62274,22100
"workers_against","workers","against",16,13422,54845
"england_international","england","international",83,21364,21433
"some_foods","some","foods",33,166759,2073
"or_attention","or","attention",15,368104,13272
"mr_reilly","mr","reilly",11,58363,156
"pervading_the","pervading","the",14,55,6036130
"cooperative_and","cooperative","and",23,598,2614893
"the_restaurant","the","restaurant",708,6036130,3343
"all_known","all","known",100,275882,25141
"party_believes","party","believes",13,37409,3916
"for_progression","for","progression",17,877618,730
"major_initiatives","major","initiatives",18,27994,1891
"a_tidy","a","tidy",100,2169721,1006
"any_details","any","details",72,121356,11429
"this_catalogue","this","catalogue",39,452531,2405
"and_revered","and","revered",15,2614893,188
"are_economies","are","economies",12,456718,1838
"support_band","support","band",21,30496,6380
"will_convince","will","convince",26,250441,1198
"four_top","four","top",15,44195,25487
"past_four","past","four",304,25286,44195
"absolute_beginner","absolute","beginner",15,3387,266
"had_fed","had","fed",24,412099,2727
"exact_numbers","exact","numbers",11,2229,11090
"possible_NUM","possible","NUM",82,33572,1265511
"not_result","not","result",136,448154,21884
"inferior_courts","inferior","courts",32,841,5839
"billion_of","billion","of",218,4731,3041281
"on_seventy","on","seventy",18,727437,2837
"fresh_on","fresh","on",11,6568,727437
"standards_may","standards","may",34,9501,127119
"middlesbrough_on","middlesbrough","on",56,3404,727437
"slower_rate","slower","rate",46,939,18909
"in_you've","in","you've",18,1937245,21665
"once_asked","once","asked",73,36827,29448
"actually_for","actually","for",46,25288,877618
"flower_design","flower","design",16,2246,12629
"resemble_their","resemble","their",12,556,254217
"borders_or","borders","or",16,1446,368104
"little_hand","little","hand",35,62274,33336
"two-year_prison","two-year","prison",11,562,6096
"currency_would","currency","would",23,3452,228948
"luke_rittner","luke","rittner",11,2830,17
"then_tied","then","tied",11,153059,2650
"their_team's","their","team's",19,254217,488
"often_about","often","about",21,37088,191133
"taste_or","taste","or",56,3958,368104
"incident_was","incident","was",148,3629,860745
"the_lna","the","lna",13,6036130,17
"less_common","less","common",192,38495,19758
"how_they've","how","they've",36,96755,9289
"as_fascinating","as","fascinating",20,653528,1614
"and_haggard","and","haggard",36,2614893,142
"waved_as","waved","as",13,1324,653528
"said_nobody","said","nobody",30,193749,5231
"extremely_doubtful","extremely","doubtful",20,6675,1206
"only_done","only","done",81,148191,33944
"exams_were","exams","were",11,677,307547
"buy_when","buy","when",21,12259,208943
"personal_visit","personal","visit",20,17184,12247
"vice-presidents_and","vice-presidents","and",17,90,2614893
"go_going","go","going",12,85944,63243
